name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Daniel Natea,judo,ROU,male,21/04/1992,24.3,2.03,170
Behdad Salimikordasiabi,weightlifting,IRI,male,08/12/1989,26.7,1.92,170
Ivan Emilianov,athletics,MDA,male,19/02/1977,39.5,2.02,165
Fernando Salas Manguis,weightlifting,ECU,male,10/02/1988,28.5,1.86,163
Rafael Silva,judo,BRA,male,11/05/1987,29.3,2.03,160
Peter Nagy,weightlifting,HUN,male,16/01/1986,30.6,1.92,159
Mason Finley,athletics,USA,male,07/10/1990,25.8,2.04,157
Lasha Talakhadze,weightlifting,GEO,male,02/10/1993,22.9,1.97,157
Daniel Stahl,athletics,SWE,male,27/08/1992,24,2,155
Fernando Saraiva Reis,weightlifting,BRA,male,10/03/1990,26.4,1.85,155
Tsanko Arnaudov,athletics,POR,male,14/03/1992,24.4,1.98,154
Shih-Chieh Chen,weightlifting,TPE,male,27/11/1989,26.7,1.9,152
Ruben Aleksanyan,weightlifting,ARM,male,14/03/1990,26.4,1.8,152
Mart Seim,weightlifting,EST,male,24/10/1990,25.8,1.85,149
Almir Velagic,weightlifting,GER,male,22/08/1981,35,1.83,149
Kunathip Yea-On,judo,THA,male,18/08/1995,21,1.93,148
Rustam Djangabaev,weightlifting,UZB,male,25/08/1993,23,1.83,146
Darrell Hill,athletics,USA,male,17/08/1993,23,1.91,145
Hojamuhammet Toychyyev,weightlifting,TKM,male,16/01/1992,24.6,1.86,145
Ivan Ivanov,athletics,KAZ,male,03/01/1992,24.6,2.02,144
Ahmed Mohamed,weightlifting,EGY,male,27/04/1988,28.3,1.85,144
Gor Minasyan,weightlifting,ARM,male,25/10/1994,21.8,1.8,144
Man Asaad,weightlifting,SYR,male,20/11/1993,22.7,1.9,143
Sarah Elizabeth Robles,weightlifting,USA,female,01/08/1988,28,1.78,143
Tomasz Majewski,athletics,POL,male,30/08/1981,35,2.04,142
Tim Nedow,athletics,CAN,male,16/10/1990,25.8,2,140
Damien Birkinhead,athletics,AUS,male,08/04/1993,23.3,1.9,140
Deo Gracia Ngokaba,judo,CGO,male,17/05/1997,19.2,1.9,140
Asmir Kolasinac,athletics,SRB,male,15/10/1984,31.8,1.87,140
Yavuz Ilnam,shooting,TUR,male,23/07/1987,29.1,1.85,140
Borja Vivas,athletics,ESP,male,26/05/1984,32.2,2.04,139
Teddy Riner,judo,FRA,male,07/04/1989,27.3,2.03,139
Alexej Prochorow,weightlifting,GER,male,30/03/1990,26.4,1.91,138
Konrad Bukowiecki,athletics,POL,male,17/03/1997,19.4,1.91,138
Georgi Ivanov,athletics,BUL,male,13/03/1985,31.4,1.88,138
Gregory Echenique,basketball,VEN,male,23/11/1990,25.7,2.06,137
Lukas Weisshaidinger,athletics,AUT,male,20/02/1992,24.5,1.96,136
Aliaksei Mzhachyk,weightlifting,BLR,male,30/06/1996,20.1,1.9,136
Irakli Turmanidze,weightlifting,GEO,male,13/12/1984,31.7,1.82,136
Michelle Carter,athletics,USA,female,12/10/1985,30.8,1.76,136
Vikas Gowda,athletics,IND,male,05/07/1983,33.1,2.05,135
Axel Harstedt,athletics,SWE,male,28/02/1987,29.5,1.97,135
Ushangi Kokauri,judo,AZE,male,10/01/1992,24.6,1.95,135
Michal Haratyk,athletics,POL,male,10/04/1992,24.3,1.94,135
Hebert Brol,shooting,GUA,male,10/01/1980,36.6,1.81,135
Stipe Zunic,athletics,CRO,male,13/12/1990,25.7,1.93,134
Joe Kovacs,athletics,USA,male,28/06/1989,27.1,1.83,133
Zoltan Kovago,athletics,HUN,male,10/04/1979,37.3,2.04,132
Abdullo Tangriev,judo,UZB,male,28/03/1981,35.4,1.9,132
Santa Pakenyte,judo,LTU,female,11/12/1990,25.7,1.86,132
Miroslav Raduljica,basketball,SRB,male,05/01/1988,28.6,2.13,130
Andrius Gudzius,athletics,LTU,male,14/02/1991,25.5,2,130
Maciej Sarnacki,judo,POL,male,10/02/1987,29.5,2,130
Franck Elemba,athletics,CGO,male,21/07/1990,26.1,1.98,130
Mijain Lopez Nunez,wrestling,CUB,male,20/08/1982,34,1.98,130
Nurmakhan Tinaliyev,wrestling,KAZ,male,10/01/1988,28.6,1.98,130
Ihor Shymechko,weightlifting,UKR,male,27/05/1986,30.2,1.97,130
Oleksandr Chernetskyy,wrestling,UKR,male,17/02/1984,32.5,1.95,130
Piotr Malachowski,athletics,POL,male,07/06/1983,33.2,1.93,130
Sabah Shariati,wrestling,AZE,male,01/01/1989,27.6,1.92,130
Barna Bor,judo,HUN,male,12/12/1986,29.7,1.91,130
Sungmin Kim,judo,KOR,male,29/06/1987,29.1,1.9,130
Muminjon Abdullaev,wrestling,UZB,male,24/12/1989,26.6,1.9,130
Adam Okruashvili,judo,GEO,male,01/01/1989,27.6,1.89,130
Bashir Asgari Babajanzadeh Darzi,wrestling,IRI,male,20/08/1989,27,1.88,130
Iakobi Kajaia,wrestling,GEO,male,28/09/1993,22.9,1.87,130
Sergey Semenov,wrestling,RUS,male,10/08/1995,21,1.87,130
Hamza Alic,athletics,BIH,male,20/01/1979,37.6,1.86,130
Ramon Pileta,judo,HON,male,20/03/1977,39.4,1.85,130
Erwin Jose Caraballo Cabrera,wrestling,VEN,male,21/07/1981,35.1,1.85,130
Pierre Plihon,archery,FRA,male,29/10/1989,26.8,1.84,130
Igor Olshanetskyi,weightlifting,ISR,male,16/02/1986,30.5,1.84,130
Daniel Allerstorfer,judo,AUT,male,04/12/1992,23.7,1.83,130
Riza Kayaalp,wrestling,TUR,male,10/10/1989,26.8,1.82,130
Iurii Krakovetskii,judo,KGZ,male,27/08/1992,24,1.8,130
Daniel Repacholi,shooting,AUS,male,15/05/1982,34.2,2.02,128
Wojciech Nowicki,athletics,POL,male,22/02/1989,27.5,1.96,128
Eduard Popp,wrestling,GER,male,16/06/1991,25.2,1.9,128
Song Yu,judo,CHN,female,06/08/1986,30,1.82,128
German Lauro,athletics,ARG,male,02/04/1984,32.4,1.86,127
Felisha Johnson,athletics,USA,female,24/07/1989,27.1,1.86,127
Robert Timothy David Smith,wrestling,USA,male,30/01/1987,29.5,1.83,127
Shelbi Vaughan,athletics,USA,female,24/08/1994,22,1.83,127
Jiri Orsag,weightlifting,CZE,male,05/01/1989,27.6,1.81,127
Jasmin Kuelbs,judo,GER,female,07/11/1991,24.8,1.78,127
Robert Harting,athletics,GER,male,18/10/1984,31.8,2.01,126
Pawel Fajdek,athletics,POL,male,04/06/1989,27.2,1.86,126
Cristiano Felicio,basketball,BRA,male,07/07/1992,24.1,2.08,125
Bilyal Makhov,wrestling,RUS,male,20/09/1987,28.9,2,125
Joe Kayes,aquatics,AUS,male,03/01/1991,25.6,1.98,125
Geno Petriashvili,wrestling,GEO,male,01/04/1994,22.4,1.98,125
Gerd Kanter,athletics,EST,male,06/05/1979,37.3,1.96,125
Aiaal Lazarev,wrestling,KGZ,male,19/03/1986,30.4,1.95,125
Taha Akgul,wrestling,TUR,male,22/11/1990,25.7,1.92,125
Andre Breitbarth,judo,GER,male,06/04/1990,26.4,1.91,125
Hisayoshi Harasawa,judo,JPN,male,03/07/1992,24.1,1.91,125
Tomas Stanek,athletics,CZE,male,13/06/1991,25.2,1.9,125
Daulet Shabanbay,wrestling,KAZ,male,09/08/1983,33,1.9,125
Levan Berianidze,wrestling,ARM,male,10/10/1990,25.8,1.86,125
Jamaladdin Magomedov,wrestling,AZE,male,14/03/1989,27.4,1.86,125
Nicholas Scarvelis,athletics,GRE,male,02/02/1993,23.5,1.86,125
Tomas Walsh,athletics,NZL,male,01/03/1992,24.4,1.85,125
Florian Skilang Temengil,wrestling,PLW,male,04/11/1986,29.8,1.85,125
Alen Zasieiev,wrestling,UKR,male,10/10/1988,27.8,1.85,125
Chuluunbat Jargalsaikhan,wrestling,MGL,male,03/12/1984,31.7,1.84,125
Ibrahim Saidau,wrestling,BLR,male,09/03/1985,31.4,1.8,125
Dimitar Angelov Kumchev,wrestling,BUL,male,20/04/1980,36.3,1.8,125
Diaaeldin Kamal Gouda Abdelmottaleb,wrestling,EGY,male,02/05/1993,23.3,1.77,125
Vanessa Zambotti,judo,MEX,female,04/03/1982,34.4,1.75,125
Radhouane Chebbi,wrestling,TUN,male,08/08/1985,31,1.74,125
Tobias Dahm,athletics,GER,male,23/05/1987,29.2,2.05,124
Ryan Crouser,athletics,USA,male,18/12/1992,23.6,2.01,124
Stephen Mozia,athletics,NGR,male,16/08/1993,23,1.91,124
Tavis Bailey,athletics,USA,male,06/01/1992,24.6,1.91,124
Temuulen Battulga,judo,MGL,male,07/10/1988,27.8,1.83,124
Shaimaa Haridy,weightlifting,EGY,female,01/01/1991,25.6,1.6,124
Christoph Harting,athletics,GER,male,10/04/1990,26.3,2.07,123
Walid Bidani,weightlifting,ALG,male,11/06/1994,22.2,1.85,123
DeMarcus Cousins,basketball,USA,male,13/08/1990,26,2.1,122
Andrew Bogut,basketball,AUS,male,28/11/1984,31.7,2.07,122
Robert Urbanek,athletics,POL,male,29/04/1987,29.3,2,122
Tervel Ivaylov Dlagnev,wrestling,USA,male,19/11/1985,30.7,1.88,122
Qiang Meng,wrestling,CHN,male,03/07/1987,29.1,1.86,122
Roy Meyer,judo,NED,male,04/06/1991,25.2,1.86,122
Maryam Usman,weightlifting,NGR,female,09/11/1990,25.8,1.66,122
Miro Bilan,basketball,CRO,male,21/07/1989,27.1,2.13,121
Darko Planinic,basketball,CRO,male,22/11/1990,25.7,2.11,120
Jonas Valanciunas,basketball,LTU,male,06/05/1992,24.3,2.11,120
DeAndre Jordan,basketball,USA,male,21/07/1988,28.1,2.11,120
Rafael Hettsheimeir,basketball,BRA,male,16/06/1986,30.2,2.08,120
Mykyta Nesterenko,athletics,UKR,male,15/04/1991,25.3,2.08,120
Daniel Jasinski,athletics,GER,male,05/08/1989,27,2.07,120
Gudni Valur Gudnason,athletics,ISL,male,11/10/1995,20.8,1.99,120
Oleksiy Semenov,athletics,UKR,male,27/06/1982,34.1,1.98,120
Kemal Mesic,athletics,BIH,male,04/08/1985,31,1.96,120
Mesud Pezer,athletics,BIH,male,27/08/1994,22,1.96,120
Josip Vrlic,aquatics,BRA,male,25/04/1986,30.3,1.96,120
Yevgeniy Labutov,athletics,KAZ,male,17/11/1984,31.7,1.94,120
Or Sasson,judo,ISR,male,18/08/1990,26,1.93,120
Valerie Adams,athletics,NZL,female,06/10/1984,31.9,1.93,120
Ehsan Hadadi,athletics,IRI,male,20/01/1985,31.6,1.92,120
Murat Ramonov,wrestling,KGZ,male,21/07/1990,26.1,1.92,120
Johan Magnus Euren,wrestling,SWE,male,18/05/1985,31.2,1.92,120
Andrei Gag,athletics,ROU,male,27/04/1991,25.3,1.91,120
Eduard Soghomonyan,wrestling,BRA,male,19/02/1990,26.5,1.9,120
Jacko Gill,athletics,NZL,male,20/12/1994,21.6,1.89,120
Zhiwei Deng,wrestling,CHN,male,01/02/1988,28.5,1.88,120
Carlos Tobalina,athletics,ESP,male,02/08/1985,31,1.88,120
Lois Maikel Martinez,athletics,ESP,male,03/06/1981,35.2,1.87,120
Dilshod Nazarov,athletics,TJK,male,06/05/1982,34.3,1.87,120
Suhrob Khodjaev,athletics,UZB,male,21/05/1993,23.2,1.85,120
Esref Apak,athletics,TUR,male,03/01/1982,34.6,1.84,120
Tugce Sahutoglu,athletics,TUR,female,01/05/1988,28.3,1.8,120
Yosra Dhieb,weightlifting,TUN,female,31/08/1995,20.9,1.78,120
O'dayne Richards,athletics,JAM,male,14/12/1988,27.7,1.77,120
Abdellatif Mohamed Ahmed Mohamed,wrestling,EGY,male,08/12/1995,20.7,1.76,120
Suping Meng,weightlifting,CHN,female,17/07/1989,27.1,1.73,120
Andreea Aanei,weightlifting,ROU,female,18/11/1993,22.7,1.7,120
Martin Kupper,athletics,EST,male,31/05/1989,27.2,1.98,119
Ondrej Kruzel,weightlifting,SVK,male,23/08/1988,28,1.9,119
Rachid Sidibe,judo,BUR,male,02/12/1990,25.7,1.77,119
Huisol Lee,weightlifting,KOR,female,27/08/1989,27,1.74,119
Kamil Syprzak,handball,POL,male,23/07/1991,25.1,2.07,118
Cameron Bairstow,basketball,AUS,male,07/12/1990,25.7,2.06,118
Augusto Lima,basketball,BRA,male,17/09/1991,24.9,2.06,118
Miguel Marriaga,basketball,VEN,male,06/06/1984,32.2,2.06,118
Matthew Denny,athletics,AUS,male,02/06/1996,20.2,1.95,118
Pavel Bareisha,athletics,BLR,male,16/02/1991,25.5,1.93,118
Danijel Furtula,athletics,MNE,male,31/07/1992,24,1.93,118
Filip KLIKOVAC,aquatics,MNE,male,07/02/1989,27.5,1.9,118
Bostjan Macek,shooting,SLO,male,17/06/1972,44.2,1.74,118
Robertas Javtokas,basketball,LTU,male,20/03/1980,36.4,2.1,117
David Storl,athletics,GER,male,27/07/1990,26,1.98,117
Mukhamadmurod Abdurakhmonov,judo,TJK,male,29/11/1986,29.7,1.92,117
Daniel Ligeti,wrestling,HUN,male,31/07/1989,27,1.9,117
Amanmurad Hommadov,athletics,TKM,male,28/01/1989,27.5,1.9,117
Jennifer Frank Casanas,athletics,ESP,male,18/10/1978,37.8,1.87,117
Heiki Nabi,wrestling,EST,male,06/06/1985,31.2,1.93,116
Krisztian Pars,athletics,HUN,male,18/02/1982,34.5,1.88,116
Marco Lingua,athletics,ITA,male,04/06/1978,38.2,1.77,116
Muhao Li,basketball,CHN,male,02/06/1992,24.2,2.18,115
Pau Gasol,basketball,ESP,male,06/07/1980,36.1,2.15,115
Willy Hernangomez,basketball,ESP,male,27/05/1994,22.2,2.1,115
Finn Lemke,handball,GER,male,30/04/1992,24.3,2.1,115
Joffrey Lauvergne,basketball,FRA,male,30/09/1991,24.9,2.09,115
Nikola Jokic,basketball,SRB,male,19/02/1995,21.5,2.09,115
Aron Baynes,basketball,AUS,male,09/12/1986,29.7,2.07,115
Nicolas le Goff,volleyball,FRA,male,15/02/1992,24.5,2.06,115
Damir Buric,aquatics,CRO,male,02/12/1980,35.7,2.05,115
Ike Diogu,basketball,NGR,male,11/09/1983,32.9,2.04,115
Alex Roelse,aquatics,USA,male,10/01/1995,21.6,2.04,115
Boris Diaw,basketball,FRA,male,16/04/1982,34.3,2.03,115
Adam Decker,aquatics,HUN,male,29/02/1984,32.5,2.03,115
Josef Dostal,canoe,CZE,male,03/03/1993,23.4,2.02,115
Andro Buslje,aquatics,CRO,male,04/01/1986,30.6,2,115
Benn Harradine,athletics,AUS,male,14/10/1982,33.8,1.98,115
Robert Elder,archery,FIJ,male,25/04/1981,35.3,1.94,115
Gabor Kis,aquatics,HUN,male,27/09/1982,33.9,1.94,115
Korey Jarvis,wrestling,CAN,male,04/10/1986,29.9,1.88,115
Chris Bennett,athletics,GBR,male,17/12/1989,26.7,1.88,115
Benik Abrahamyan,athletics,GEO,male,31/07/1985,31,1.86,115
Komeil Nemat Ghasemi,wrestling,IRI,male,27/02/1988,28.5,1.86,115
Ka Bian,athletics,CHN,female,05/01/1993,23.6,1.82,115
Subenrat Insaeng,athletics,THA,female,10/02/1994,22.5,1.82,115
Alberto Fernandez,shooting,ESP,male,16/06/1983,33.2,1.8,115
Christina Schwanitz,athletics,GER,female,24/12/1985,30.6,1.8,115
Gagan Narang,shooting,IND,male,06/05/1983,33.3,1.8,115
Kelsey Card,athletics,USA,female,20/08/1992,24,1.78,115
Antanas Kavaliauskas,basketball,LTU,male,19/09/1984,31.9,2.08,114
Filip Mihaljevic,athletics,CRO,male,31/07/1994,22,2.01,114
Matej Gaber,handball,SLO,male,22/07/1991,25.1,1.97,114
Andreas Nilsson,handball,SWE,male,12/04/1990,26.3,1.97,114
Michael Maskell,shooting,BAR,male,24/11/1966,49.7,1.75,114
Yaniuska Isabel Espinosa,weightlifting,VEN,female,05/12/1986,29.7,1.72,114
Rudy Gobert,basketball,FRA,male,26/06/1992,24.1,2.15,113
Jianlian Yi,basketball,CHN,male,27/10/1987,28.8,2.13,113
Nene Hilario,basketball,BRA,male,13/09/1982,33.9,2.11,113
Andrew Evans,athletics,USA,male,25/01/1991,25.5,1.99,113
John Mann,aquatics,USA,male,27/06/1985,31.1,1.99,113
Akira Ioane,rugby sevens,NZL,male,16/06/1995,21.2,1.94,113
Vladimir Stimac,basketball,SRB,male,25/08/1987,29,2.11,112
Marko Kopljar,handball,CRO,male,12/02/1986,30.5,2.1,112
Jakov Gojun,handball,CRO,male,18/04/1986,30.3,2.03,112
Mateusz Kus,handball,POL,male,14/07/1987,29.1,2,112
Ivan Pesic,handball,CRO,male,17/03/1989,27.4,1.94,112
Nick Miller,athletics,GBR,male,01/05/1993,23.3,1.88,112
Mark Dry,athletics,GBR,male,11/10/1987,28.8,1.84,112
Brittany Crew,athletics,CAN,female,06/03/1994,22.4,1.78,112
Michal Jurecki,handball,POL,male,27/10/1984,31.8,1.98,111
Wisam Nawar,handball,EGY,male,14/02/1990,26.5,1.85,111
Roberto Sawyers,athletics,CRC,male,17/10/1986,29.8,1.82,111
Dario Saric,basketball,CRO,male,08/04/1994,22.3,2.07,110
Borja Fernandez,handball,QAT,male,25/12/1981,34.6,2.06,110
Evan Van Moerkerke,aquatics,CAN,male,16/08/1993,23,2.05,110
Windi Graterol,basketball,VEN,male,10/09/1986,29.9,2.05,110
Nestor Colmenares,basketball,VEN,male,05/09/1987,28.9,2.03,110
Mohamed Sbihi,rowing,GBR,male,27/03/1988,28.4,2.02,110
Balazs Harai,aquatics,HUN,male,05/04/1987,29.4,2.02,110
Saulius Ritter,rowing,LTU,male,23/08/1988,28,2.02,110
Patrick Wiencek,handball,GER,male,22/03/1989,27.4,2,110
Jesper Nielsen,handball,SWE,male,30/09/1989,26.9,2,110
Philip Milanov,athletics,BEL,male,06/07/1991,25.1,1.98,110
Andreas Wolff,handball,GER,male,03/03/1991,25.4,1.98,110
Julius Kuhn,handball,GER,male,01/04/1993,23.4,1.98,110
Gen Li,basketball,CHN,male,15/08/1988,28,1.96,110
Thormodur Jonsson,judo,ISL,male,02/03/1983,33.5,1.96,110
Siarhei Kalamoyets,athletics,BLR,male,11/08/1989,27,1.92,110
Cedric Sorhaindo,handball,FRA,male,07/06/1984,32.2,1.92,110
Marouen Maggaiz,handball,TUN,male,28/07/1983,33,1.92,110
Vinicius Teixeira,handball,BRA,male,03/04/1988,28.4,1.88,110
Ricard Alarcon Tevar,aquatics,ESP,male,18/08/1991,25,1.88,110
Javier Cienfuegos,athletics,ESP,male,15/07/1990,26.1,1.87,110
Issam Tej,handball,TUN,male,29/07/1979,37,1.87,110
Ivan Tsikhan,athletics,BLR,male,24/07/1976,40.1,1.86,110
Alex Garcia Mendoza,judo,CUB,male,02/06/1993,23.2,1.86,110
Apostolos Parellis,athletics,CYP,male,24/07/1985,31.1,1.86,110
Lukas Melich,athletics,CZE,male,16/09/1980,35.9,1.86,110
Arturs Nikiforenko,judo,LAT,male,03/05/1992,24.3,1.85,110
Emel Dereli,athletics,TUR,female,25/02/1996,20.5,1.81,110
Jennifer Dahlgren,athletics,ARG,female,21/04/1984,32.3,1.8,110
Massimo Fabbrizi,shooting,ITA,male,27/08/1977,39,1.77,110
Larisa Ceric,judo,BIH,female,26/01/1991,25.5,1.76,110
Maria Suelen Altheman,judo,BRA,female,12/08/1988,28,1.75,110
Younghee Son,weightlifting,KOR,female,24/04/1993,23.3,1.73,110
Sardorbek Dusmurotov,weightlifting,UZB,male,13/03/1993,23.4,1.68,110
Roberto Acuna,basketball,ARG,male,14/09/1990,25.9,2.08,109
Domantas Sabonis,basketball,LTU,male,03/05/1996,20.3,2.08,109
Felipe Reyes,basketball,ESP,male,16/03/1980,36.4,2.04,109
Carmelo Anthony,basketball,USA,male,29/05/1984,32.2,2.03,109
Marko Mamic,handball,CRO,male,06/03/1994,22.4,2.02,109
Leone Nakarawa,rugby sevens,FIJ,male,02/04/1988,28.4,1.98,109
Sasa MISIC,aquatics,MNE,male,27/03/1987,29.4,1.98,109
Konstantinos Mourikis,aquatics,GRE,male,11/07/1988,28.1,1.97,109
Ilija Brozovic,handball,CRO,male,26/05/1991,25.2,1.96,109
Marko Macan,aquatics,CRO,male,26/04/1993,23.3,1.96,109
Jose Vargas,basketball,VEN,male,23/01/1982,34.6,1.96,109
Marouan Chouiref,handball,TUN,male,27/05/1990,26.2,1.95,109
Luis Scola,basketball,ARG,male,30/04/1980,36.3,2.04,108
Luka Karabatic,handball,FRA,male,19/04/1988,28.3,2.02,108
Cristi-Ilie Pirghie,rowing,ROU,male,20/07/1992,24.1,2.02,108
Blaz Blagotinsek,handball,SLO,male,17/01/1994,22.6,2.02,108
Benjamin Hallock,aquatics,USA,male,22/11/1997,18.7,1.99,108
Angel Fournier Rodriguez,rowing,CUB,male,31/12/1987,28.6,1.98,108
Cyrille Maret,judo,FRA,male,11/08/1987,29,1.89,108
Rudy Winkler,athletics,USA,male,06/12/1994,21.7,1.88,108
Stephen Lambdin,taekwondo,USA,male,09/03/1988,28.4,1.88,108
Josua Tuisova,rugby sevens,FIJ,male,04/02/1994,22.5,1.8,108
Kanae Yamabe,judo,JPN,female,22/09/1990,25.9,1.72,108
Raven Saunders,athletics,USA,female,15/05/1996,20.2,1.66,108
Brock Motum,basketball,AUS,male,16/10/1990,25.8,2.08,107
Victor Claver,basketball,ESP,male,30/08/1988,28,2.06,107
Eder Carbonera,volleyball,BRA,male,19/10/1983,32.8,2.05,107
Milan Macvan,basketball,SRB,male,16/11/1989,26.7,2.05,107
Andy Ogide,basketball,NGR,male,01/10/1987,28.9,2.04,107
Yuchen Zou,basketball,CHN,male,05/07/1996,20.1,2.03,107
Georgi Bozhilov,rowing,BUL,male,09/04/1989,27.3,2.01,107
Gabriel Deck,basketball,ARG,male,08/02/1995,21.5,1.97,107
Aleksandar IVOVIC,aquatics,MNE,male,24/02/1986,30.5,1.97,107
Alexandro Pozzer,handball,BRA,male,21/12/1988,27.6,1.92,107
Bartosz Jurecki,handball,POL,male,31/01/1979,37.5,1.92,107
Juliano Fiori,rugby sevens,BRA,male,27/06/1985,31.1,1.91,107
Andrew Durutalo,rugby sevens,USA,male,25/10/1987,28.8,1.88,107
Kun-Pi Yang,shooting,TPE,male,11/08/1998,18,1.86,107
Tracey Lambrechs,weightlifting,NZL,female,27/08/1985,31,1.67,107
Gavin Schmitt,volleyball,CAN,male,27/01/1986,30.5,2.08,106
Leo Mainoldi,basketball,ARG,male,04/03/1985,31.4,2.04,106
Ivan Popov,wrestling,AUS,male,25/05/1986,30.2,2.03,106
Karol Bielecki,handball,POL,male,23/01/1982,34.6,2.02,106
Rafael Capote,handball,QAT,male,05/10/1987,28.9,1.98,106
George Palamariu,rowing,ROU,male,17/03/1991,25.4,1.97,106
Slobodan Nikic,aquatics,SRB,male,25/01/1983,33.6,1.97,106
Balasz Sziranyi Somogyi,aquatics,ESP,male,10/01/1983,33.6,1.96,106
Viliame Mata,rugby sevens,FIJ,male,22/10/1991,24.8,1.96,106
Conor McCullough,athletics,USA,male,31/01/1991,25.5,1.96,106
Luka Loncar,aquatics,CRO,male,26/06/1987,29.1,1.95,106
Sonny Bill Williams,rugby sevens,NZL,male,03/08/1985,31,1.94,106
Humphrey Kayange,rugby sevens,KEN,male,20/07/1982,34.1,1.93,106
Paul Drux,handball,GER,male,07/02/1995,21.5,1.92,106
Mads Mensah Larsen,handball,DEN,male,12/08/1991,25,1.88,106
Roberto Janet,athletics,CUB,male,29/08/1986,30,1.87,106
Marcel Lomnicky,athletics,SVK,male,06/07/1987,29.1,1.77,106
Kiradech Aphibarnrat,golf,THA,male,23/07/1989,27.1,1.72,106
Mohamed Masoud,volleyball,EGY,male,01/05/1994,22.3,2.11,105
Kim Tillie,basketball,FRA,male,15/07/1988,28.1,2.11,105
Evandro Goncalves Oliveira Junior,volleyball,BRA,male,17/07/1990,26.1,2.1,105
Marcos Delia,basketball,ARG,male,08/04/1992,24.3,2.09,105
Robert Fuchs,rowing,POL,male,12/06/1991,25.2,2.09,105
Marko Arapovic,basketball,CRO,male,20/07/1996,20.1,2.07,105
Paulius Jankunas,basketball,LTU,male,29/04/1984,32.3,2.05,105
Arman-Marshall Silla,taekwondo,BLR,male,13/07/1994,22.1,2.03,105
Zeljko Sakic,basketball,CRO,male,14/04/1988,28.3,2.03,105
Enzo Khasz,aquatics,FRA,male,13/08/1993,23,2.03,105
Nicolas Batum,basketball,FRA,male,14/12/1988,27.7,2.03,105
Christian Dissinger,handball,GER,male,15/11/1991,24.7,2.03,105
David Lee,volleyball,USA,male,08/03/1982,34.4,2.03,105
Adrien Dipanda,handball,FRA,male,03/05/1988,28.3,2.02,105
Marton Vamos,aquatics,HUN,male,24/06/1992,24.1,2.02,105
Constantin Adam,rowing,ROU,male,12/07/1996,20.1,2.02,105
Andrey Ashchev,volleyball,RUS,male,10/05/1983,33.3,2.02,105
Damir Dugonjic,aquatics,SLO,male,21/02/1988,28.5,2.02,105
Dusan Mandic,aquatics,SRB,male,16/06/1994,22.2,2.02,105
Henrik Toft Hansen,handball,DEN,male,18/12/1986,29.7,2,105
Rene Toft Hansen,handball,DEN,male,01/11/1984,31.8,2,105
Kim Andersson,handball,SWE,male,21/08/1982,34,2,105
Ondrej Synek,rowing,CZE,male,13/10/1982,33.8,1.99,105
Alberto Munarriz Egana,aquatics,ESP,male,19/05/1994,22.2,1.98,105
Paulo Bernardo Reichardt,shooting,PAR,male,08/08/1960,56,1.98,105
Dmytro Kosynskyy,athletics,UKR,male,31/03/1989,27.4,1.98,105
Leonardo Querin,handball,ARG,male,17/04/1982,34.3,1.97,105
Kresimir Kozina,handball,CRO,male,25/06/1990,26.1,1.97,105
Lukas Krpalek,judo,CZE,male,15/11/1990,25.7,1.97,105
Wael Jallouz,handball,TUN,male,03/05/1991,25.3,1.97,105
Alex Obert,aquatics,USA,male,18/12/1991,24.6,1.96,105
Islam El Shehaby,judo,EGY,male,01/08/1982,34,1.95,105
Guillermo Molina Rios,aquatics,ESP,male,16/03/1984,32.4,1.95,105
Roger Tahull Compte,aquatics,ESP,male,11/05/1997,19.2,1.95,105
James Rodwell,rugby sevens,GBR,male,23/08/1984,32,1.95,105
Yevhen Vynohradov,athletics,UKR,male,30/04/1984,32.3,1.95,105
Bobur Shokirjonov,athletics,UZB,male,05/12/1990,25.7,1.95,105
Juan Carlos Cabrera,rowing,MEX,male,09/11/1991,24.8,1.94,105
Jesse Smith,aquatics,USA,male,27/04/1983,33.3,1.94,105
Ivan Stevanovic,handball,CRO,male,18/05/1982,34.2,1.93,105
Albertina Cruz Kassoma,handball,ANG,female,12/06/1996,20.2,1.92,105
Alin Alexuc Ciurariu,wrestling,ROU,male,03/02/1990,26.5,1.91,105
Ro Dakuwaqa,rugby sevens,FIJ,male,14/02/1994,22.5,1.9,105
Efthimios Mitas,shooting,GRE,male,15/05/1985,31.2,1.9,105
Miklos Cirjenics,judo,HUN,male,11/03/1990,26.4,1.9,105
Rieko Ioane,rugby sevens,NZL,male,18/03/1997,19.4,1.9,105
Savenaca Rawaca,rugby sevens,FIJ,male,20/08/1991,25,1.89,105
Florian Floto,archery,GER,male,12/04/1988,28.3,1.88,105
Pat McCutcheon,rugby sevens,AUS,male,24/06/1987,29.1,1.87,105
Zhe Yang,weightlifting,CHN,male,14/07/1991,25.1,1.87,105
Elizbar Odikadze,wrestling,GEO,male,14/06/1989,27.2,1.87,105
Timothey N'Guessan,handball,FRA,male,18/09/1992,23.9,1.86,105
Oscar Ouma,rugby sevens,KEN,male,03/05/1989,27.3,1.86,105
Ashraf Amgad Elseify,athletics,QAT,male,20/02/1995,21.5,1.85,105
Ivan Efremov,weightlifting,UZB,male,09/03/1986,30.4,1.84,105
Wenxiu Zhang,athletics,CHN,female,22/03/1986,30.4,1.83,105
Ruslan Nurudinov,weightlifting,UZB,male,24/11/1991,24.7,1.83,105
